message_id,message_text,label,platform,likes
1,Win a free iPhone Click now,spam,Email,10
2,Great video thanks,not_spam,YouTube,45
3,Limited offer Visit our site,spam,WhatsApp,
4,Can you share the notes please,not_spam,YouTube,12
5,,spam,Email,3
6,Join our channel for updates,not_spam,WhatsApp,8
7,Exclusive deal just for you,spam,Email,
8,Thank you for the information,not_spam,YouTube,20
9,Click here to claim your reward,spam,Instagram,5
10,This helped me a lot thanks,not_spam,YouTube,30
11,Free gift waiting for you,spam,Email,
12,Please send the assignment,not_spam,WhatsApp,7
13,Congrats you won a bumper prize,spam,Email,2
14,Subscribed amazing content,not_spam,YouTube,50
15,Your account will be deleted click here,spam,Email,
16,Can you guide me for this topic,not_spam,YouTube,18
17,Get 70 percent discount now,spam,Instagram,4
18,Loved this explanation very clear,not_spam,YouTube,38
19,Free cash rewards daily,spam,WhatsApp,
20,Thanks for replying to my comment,not_spam,YouTube,21
21,Visit link to double your money,spam,Email,
22,Please upload more videos,not_spam,YouTube,27
23,You have been selected click to confirm,spam,Email,1
24,Your teaching style is great,not_spam,YouTube,40
25,Special promotion only for you,spam,Instagram,
26,Can someone help me understand this,not_spam,YouTube,14
27,Win prizes participate now,spam,Email,6
28,This is really useful thank you,not_spam,YouTube,33
29,You are chosen for free voucher,spam,Instagram,
30,I appreciate your hard work,not_spam,YouTube,25
31,Limited stock order now,spam,WhatsApp,3
32,Please clarify this doubt,not_spam,YouTube,16
33,You just received a free bonus,spam,Email,
34,Such a helpful explanation,not_spam,YouTube,41
35,Your loan has been approved click link,spam,Email,7
36,Thanks for sharing this info,not_spam,YouTube,29
37,Claim your free membership today,spam,Instagram,
38,This channel deserves more likes,not_spam,YouTube,55
39,Get rich quick by signing up now,spam,Email,2
40,Your tutorial helped me solve the problem,not_spam,YouTube,32
41,Try our new product for free,spam,WhatsApp,
42,Very easy and simple explanation,not_spam,YouTube,22
43,Click to activate your lottery prize,spam,Email,
44,Your notes are amazing,not_spam,Instagram,34
45,Free trial ends soon subscribe now,spam,Email,1
46,Thanks for posting regularly,not_spam,YouTube,37
47,Earn money instantly with this app,spam,Instagram,
48,This is the best video on the topic,not_spam,YouTube,48
49,Free recharge instantly click here,spam,WhatsApp,5
50,Really appreciate the quick response,not_spam,YouTube,28
